
"Connection credentials","Liitäntätiedot"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.","This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email."
"Customer is already logged in.","Asiakas on jo kirjautunut sisään."
"Could not login","Could not login"
"Login and password are required.","Käyttäjätunnus ja salasana ovat pakolliset."
"Account is created. Please check email to confirm.","Tili on luotu. Tarkista vahvistus sähköpostista."
"Invalid Exception code '%d'", "Virheellinen poikkeustilakoodi '%d'"
"Order List", "Tilauslista"
"Order #", "Tilaus #"
"Order Date", "Tilauksen päivämäärä"
"Billing Country", "Laskutus maa"
"Shipping Country", "Toimitus maa"
"Qty. Ordered", "Lkm tilattu"
"Subtotal", "Välisumma"
"Total", "Summa"
"Invoiced", "Laskutettu"
"Status", "Status"
"Action", "Toiminto"
"View", "Näytä"
"Show Report", "Näytä raportti"
"Total Customers from JMango360 Report", "Asiakkaat yhteensä JMango360 raportista"
"JMango360 Report - Total number of registered customers","Asiakkaat yhteensä JMango360 raportista"
"Total Ordered from JMango360 Report", "Tilaukset yhteensä JMango360-raportista"
"JMango360 Report - Total number of orders","Tilaukset yhteensä JMango360-raportista"
"Total Sales from JMango360 Report", "Kokonaismyynti JMango360-raportista"
"JMango360 Report - Total number of sales","Kokonaismyynti JMango360-raportista"
"Chart", "Lista"
"Period", "Aika"
"Customers", "Asiakkaat"
"Orders", "Tilaukset"
"Order From", "Tilaukset alkaen"
"JMango360 User", "JMango360 Käyttäjä"
"Download", "Lataa"
"Clear", "Tyhjennä"
"No", "Ei"
"Yes", "KyKyllä"
"Invalid token", "Virheellinen merkki"
"Session expired.", "Istunto päättyi."
"No rest model found.", "No rest model found."
"Resource method not implemented", "Resurssimenetelmää ei ole toteutettu"
"Minimum order amount is %s", "Tilauksen vähimmäismäärä on %s"
"Guest checkout is not enabled", "Virailijan kassatoiinto ei ole käytössä"
"Something is wrong with the order.", "Jokin on tilauksessa vialla."
"Something is wrong with the quote or order.", "Jokin on vialla tarjouksessa tai tilauksessa."
"Cart is empty.", "Ostoskori on tyhjä."
"Multishipping not implemented yet.", "Multishipping-toimintoa ei ole vielä toteutettu."
"Checkout method not implemented yet: ", "Checkout-menetelmää ei ole vielä toteutettu: "
"Could not log-out customer", "Asiakasta ei voitu kirjata ulos"
"Please login.", "Kirjaudu sisään, ole hyvä."
"Country code cannot be empty", "Maakoodi ei voi olla tyhjä"
"Country does not exist: ", "Maakoodi ei ole olemassa: "
"Country does not exist", "Maakoodi ei ole olemassa"
"Store not found", "Myymälää ei löydetty"
"Not allowed.", "Ei sallittu."
"Product ID invalid", "Tuotetunnus on virheellinen"
"Product not found", "Tuotetta ei löydy"
"Please login first!", "Kirjaudu ensin sisään!"
"Cannot specify product.", "Tuotetta ei voida määrittää."
"Cannot specify product", "Tuotetta ei voida määrittää"
"Item not found", "Tuotetta ei löydy"
"%1$s has been updated in your wishlist.", "%1$s on päivitetty toivelistaan."
"An error occurred while updating your wishlist.", "Virhe huomattu päivittäessä toivelistaa."
"Cannot specify your wishlist item.", "Ei voida määrittää toivelistan tuotetta."
"The product does not exist.", "Tuotetta ei löydy."
"Wishlist item removed", "Suosikkituote poistettu"
"An error occurred while deleting the item from wishlist: %s", "Virhe huomattu poistaessa tuotetta toivelistalta: %s"
"An error occurred while deleting the item from wishlist.", "Virhe huomattu poistaessa tuotetta toivelistalta."
"Can't save description %s", "Kuvausta ei voida tallentaa %s"
"Can't delete item from wishlist", "Tuotetta ei voida poistaa toivelistalta"
"Can't save qty %s", "Ei voi tallentaa lukumäärää %s"
"Wishlist updated successfully", "Toivelistasi on päivitetty onnistuneesti"
"Can't update wishlist", "Toivelistaa ei voitu päivittää"
"No item updated", "Tuotetta ei päivitetty"
"%s has been added to your wishlist.", "%s on lisätty toivelistaan."
"An error occurred while adding item to your wishlist: %s", "Tapahtui virhe lisätessä kohdetta toivelistaan: %s"
"An error occurred while adding item to your wishlist", "Tapahtui virhe lisätessä kohdetta toivelistaan"
"Wishlist not allowed", "Toivelista ei ole sallittu"
"Wishlist doesn't exist", "Toivelistaa ei löydy"
"Customer not logged in", "Asiakas Asiakas ei ole kirjautunut sisään"
"Coupon is not valid: ", "Alennuskoodi ei ole voimassa: "
"Coupon could not be applied.", "Alennuskoodia ei voitu käyttää."
"%s: Minimum quantity allowed for purchase is %s.", "%s: Ostohetkellä sallittu vähimmäismäärä on %s."
"%s: Maximum quantity allowed for purchase is %s.", "%s: Ostohetkellä suurin sallittu määrä on %s."
"%s was added to your shopping cart.", "%s lisättiin ostoskoriisi."
"No cart data found.", "Ei löydetty tietoja ostoskorista."
"Your shopping cart has been updated.", "Ostoskorisi on päivitetty."
"No bundle-product cart item ID found.", "Ei yhtään pakettituotteen tunnusta löydetty."
"The product you are trying to delete could not be found in the cart (item id is %s not found in cart).", "Tuote, jota yrität poistaa, ei löytynyt ostoskorista (kohteen tunnus %s ei löydy ostoskorista)."
"The product has been deleted from your shopping cart.", "The Tuote on poistettu ostoskorista."
"Category not found.", "Kategoriaa ei löytynyt."
"Category not available.", "Kategoria ei ole käytettävissä."
"No category found.", "Kategoriaa ei löytynyt."
"Your search returns no results.", "Haullasi ei löytynyt tuloksia."
"Query cannot be empty.", "Kysely ei voi olla tyhjä."
"Methods are not complete yet. Cart shipping address is not yet completed and saved.", "Menetelmät eivät vielä ole täydellisiä. Ostoskorin toimitusosoitetta ei ole vielä täytetty ja tallennettu."
"Methods are not complete yet. Cart is empty.", "Menetelmät eivät vielä ole täydellisiä. Ostoskori on tyhjä."
"Shipping method has no shipping carrier object: %s", "Kuljetusmenetelmällä ei ole kuljetusliikettä: %s"
"Carrier object has no collectRates method: %s", "Kuljetusobjektissa tapahtui virhe: %s"
"Shipping method has no rates object: %s", "Kuljetusmenetelmässä tapahtui virhe: %s"
"Shipping method has no getAllRates function: %s", "Kuljetusmenetelmällä ei ole maksukurssitoimintoa: %s"
"Shipping method has no rates: %s", "Kuljetustoiminnolla ei ole maksukurssia: %s"
"Shipping method can not be empty.", "Kuljetusmenetelmä ei voi olla tyhjä."
"This shipping method is currently not available.", "Tämä lähetystapa ei ole tällä hetkellä saatavilla."
"Customer shipping address not found.", "Asiakkaan lähetysosoitetta ei löytynyt."
"Customer shipping address email not found.", "Asiakkaan lähetysosoitteen sähköpostia ei löytynyt."
"Customer billing address not found.", "Asiakkaan laskutusosoitetta ei löytynyt."
"Payment method cannot be empty.", "Maksutapa ei voi olla tyhjä."
"Email cannot be empty.", "Sähköposti ei voi olla tyhjä."
"This payment method is currently not available.", "Tämä maksutapa ei ole tällä hetkellä käytettävissä."
"Please add ", "Lisää "
"Request info not matches the order.", "Pyydetyt tiedot eivät vastaa tilausta."
"No payment provider to redirect found.", "Mitään maksupalveluntarjoajaa udelleenohjaukseen ei löydetty."
"Request info does not match the quote. Probably the cart is ordered or the session is expired.", "Pyydetyt tiedot eivät vastaa pyydettyä. Ostoskorisi on jo käsitelty tai istunto on vanhentunut."
"Cart is no longer active.", "Ostoskori ei ole enää aktiivinen."
"Replaced by new order.", "Korvattu uudella tilauksella."
"Cannot save the address: ", "Osoitetta ei voitu tallentaa: "
"The address does not belong to this customer.", "Osoite ei kuulu tämän asiakkaan tietoihin."
"Default billing address can not be removed.", "Oletuslaskutusosoitetta ei voi poistaa."
"Default shipping address can not be removed.", "Oletustoimitusosoitetta ei voi poistaa."
"An error occurred while deleting the address.", "Osoitteen poistamisen aikana tapahtui virhe."
"Address ID can not be empty.", "Osoitteen tunnus ei voi olla tyhjä."
"New password field cannot be empty.", "New password field cannot be empty."
"Invalid current password", "Virheellinen nykyinen salasana"
"The account information has been saved.", "Tilitiedot on tallennettu."
"Could not retrieve list: ", "Luetteloa ei voitu palauttaa: "
"Order not found (no ID).", "Tilausts ei löydetty (ei tunnusta)."
"Invalid email address.", "Virheellinen sähköpostiosoite."
"Please enter your email.", "Anna sähköpostiosoitteesi."
"This account needs confirmation. See in confirmation email.", "Tämä tili vaatii vahvistuksen. Tarkista vahvistussähköposti."
"No products found.", "Tuotteita ei löytynyt."
"Category not found.", "Kategoriaa ei löydetty."
"Cannot find customer ID, please try again!", "Asiakastunnusta ei löydetty, yritä uudelleen!"
"You must leave at least one payment method available.", "Sinun on valittava vähintään yksi maksutapa."
"You must leave at least one shipping method available.", "Sinun on valittava vähintään yksi toimitustapa."
"None", "Ei yhtään"
"Base Image", "Peruskuva"
"Small Image", "Pieni kuva"
"Thumbnail", "Thumbnail"
"Shipping Excl. Tax (%s)", "Toimitus, ei sis. alv (%s)"
"Shipping Incl. Tax (%s)", "Toimitus, sis. alv (%s)"
"Subtotal (Excl. Tax)", "Välisumma (ei sis. alv)"
"Subtotal (Incl. Tax)", "Välisumma (sis. alv)"
"Grand Total Excl. Tax", "Loppusumma, ei sis. alv"
"Grand Total Incl. Tax", "Loppusumma, sis. alv"
"Unable to set Payment Method.", "Maksutapaa ei voitu määrittää."
"Reports", "Raportit"
"Order Details", "Tilauksen tiedot"
"Sales Reports", "Myyntiraportit"
"Orders Reports", "Tilausraportit"
"Customers Reports", "Asiakasraportit"
"Version", "Versio"
"The plugin version", "Plugin -versio"
"User Name", "Käyttäjänimi"
"This username will be checked from every App while a session is set up between the App and the Magento store.", "Tämä käyttäjätunnus tarkistetaan jokaisesta sovelluksesta, kun istunto on muodostettu sovelluksen ja Magento-kaupan välillä."
"Api Key", "Api-avain"
"This key will be checked from every App while a session is set up between the App and the Magento store.", "Tämä avain tarkistetaan jokaisesta sovelluksesta, kun istunto on muodostettu sovelluksen ja Magento-kaupan välillä."
"Use token for Api communications", "Käytä Api-viestintämerkkiä"
"Use token will add check and refresh the token with every request.", "Viestintämerkki tarkistetaan ja päivitetään jokaisella pyyntökerralla."
"Catalogue Settings", "Luetteloasetukset"
"Include all active categories", "Sisällytä kaikki aktiiviset kategoriat"
"Include all ""Active"" categories regardless of whether or not they are included in navigation", "Sisällytä kaikki ""aktiiviset"" -kategoriat riippumatta siitä, sisältyvätkö ne navigointiin vai eivät"
"Display attribute on Product Listing", "Näytä ominaisuus tuotelistauksessa"
"This attribute will be displayed in product listing", "Tämä ominaisuus näkyy tuotelistauksessa"
"Display attribute on Product Details", "Näytä ominaisuus tuotetiedoissa"
"This attribute will be displayed in product details", "Tämä ominaisuus näkyy tuotetiedoissa"
"Mobile App Checkout Settings", "Mobile App Checkout -asetukset"
"Excluded shipping methods", "Poissuljetut toimitustavat"
"Select one or more, but not all shipping methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Valitse yksi tai useampi, mutta ei kaikkia toimitustapoja, jotka eivät ole sopivia / yhteensopivia käytettäväksi mobiilisovellusympäristössä. Tämä voidaan asettaa milloin tahansa JMango360-sovelluksen luomisen aikana tai sen jälkeen."
"Excluded payment methods", "Poissuljetut maksutavat"
"Select one or more, but not all payment methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Valitse yksi tai useampi mutta ei kaikkia maksutapoja, jotka eivät ole sopivia / yhteensopivia käytettäväksi mobiilisovellusympäristössä. Tämä voidaan asettaa milloin JMango360-sovelluksen luomisen aikana tai sen jälkeen."
"Web checkout URL", "Verkkokaupan URL-osoite"
"Enter custom checkout url of website if Jmango360 plugin could not detect. Ex: checkout/onepage.", "Anna muokattu checkout-sivun URL-osoite, jos Jmango360-laajennus ei löytänyt sitä. Ex: checkout/onepage"
"Product image gallery settings", "Product image gallery settings"
"Detail page image cache-width", "Detail page image cache-width"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Set the default """cached"" size for ""big"" images on the detail pages."
"Detail page image cache-height", "Detail page image cache-height"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Set the default ""cached"" size for ""big"" images on the detail pages."
"Catalogue image cache-width", "Catalogue image cache-width"
"Set the default ""cached"" size for images on the catalogue pages.", "Set the default ""cached"" size for images on the catalogue pages."
"Catalogue image cache-height", "Catalogue image cache-height"
"Set the default ""cached"" size for images on the catalog pages.", "Set the default ""cached"" size for images on the catalog pages."
"Thumbnail image cache-width", "Thumbnail image cache-width"
"Set the default ""cached"" size for thumbnails on the detail pages.", "Set the default ""cached"" size for thumbnails on the detail pages."
"Thumbnail image cache-height", "Thumbnail image cache-height"
"Set the default """cached"" size for thumbnails on the detail pages.", "Set the default """cached"" size for thumbnails on the detail pages."
"Choose image type to be displayed if catalogue thumbnail is not available", "Valitse näytettävä kuva, jos luettelon pienoiskuva ei ole käytettävissä."
"Choose what kind of image of product that I would like to show in catalogue listing in mobile app.", "Valitse kuva tuotteesta, jonka haluaisin näyttää luettelossa mobiilisovelluksessa."
"Choose image type to be displayed on catalogue page", "Valitse kuvatiedoston tyyppi, joka näytetään luettelosivulla"
"Choose what kind of image of product that I would like to show in product listing in mobile app.", "Valitse kuva tuotteesta, jonka haluaisin näyttää luettelossa mobiilisovelluksessa."
"Stock Settings", "Varastoasetukset"
"Display products availability in stock in mobile app", "Näytä tuotteet varastossa mobiilisovelluksella"
"Developer", "Kehittäjä"
"Enable debug logging", "Ota debug-sisäänkirjautuminen käyttöön"
"Log requests to japi.log. Disable in production.", "Loki pyytää japi.log. Poista käytöstä tuotannosta."
"Sales", "Myynnit"
"Order Details", "Tilauksen tiedot"
"Settings", "Asetukset"
"Use Onepage checkout for mobile app","Käytä yhden sivun kassa-toimintoa mobiilisovellusta"
"Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout","Valitse käytettäväksi Jmango360 Onepage -vastaavuus web-kassalla mobiilisovelluksessa Magenton oletus-checkout-sivun sijaan"
"Custom Layout Update","Mukautettu ulkoasu päivitys"
"Enter xml layout update code here, it will only affect JMango360 Onepage checkout page","Anna xml-asettelupäivityskoodi tähän, se vaikuttaa vain JMango360 Onepage-checkout-sivulla"
"Custom CSS","Mukautettu CSS"
"Enter css code here, it will only append to JMango360 Onepage checkout page","Kirjoita css-koodi tähän, se liittää vain JMango360 Onepage-checkout-sivun"
"Hide non value additional attributes","Piilota arvottomat lisäominaisuudet"
"Attribute whose value is N/A or blank will not be displayed on Additional Information on product detail page","Attribuutti, jonka arvo on N/A tai tyhjä, ei tule näkyviin Lisätiedoissa tuotekuvaussivulla"
"Mobile App Login Settings","Mobiilisovelluksen sisäänkirjautumisasetukset"
"App users must login to see product prices","App-käyttäjien on kirjauduttava sisään nähdäksesi hinnat ja Lisää ostoskoriin –painikkeen"
"This will prevent mobile app user using app without an account.","Tämä estää mobiilisovelluksen käyttäjän käyttämästä sovellusta ilman tiliä."
"Discount Codes","Discount Codes"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Enable Order From in orders list","Ota tilaus käyttöön tilausluettelossa"
"Select to view which orders are from JMango360","Valitse nähdäksesi, mitkä tilaukset ovat JMango360:sta"
"Enable JMango360 User in Customers list","Ota JMango360-käyttäjä käyttöön asiakasluettelossa"
"Select to view which customers are from JMango360","Valitse nähdäksesi, mitkä asiakkaat ovat JMango360:sta"
"Adding extra attributes to registration form","Lisäominaisuuksien lisääminen rekisteröintilomakkeeseen"
"Adding these attributes to customer registration form in mobile app","Lisätään nämä ominaisuudet asiakkaan rekisteröintilomakkeeseen mobiilisovelluksessa"
"Show image of child product in Grouped Product Detail on mobile","Näytä tuotteen kuva ’Ryhmitellyt tuotekuvaukset’ mobiililaitteessa"
"Please wait","Ole hyvä ja odota"
"A new version of the JMango360 Mobile plugin %s is available. Please update.","JMango360-mobiilisovelluksen %s uusi versio on käytettävissä. Ole hyvä ja päivitä."
"Group ID not found.","Group ID not found."
"Group not found.","Group not found."
"Sales Settings","Myyntiasetukset"
"Customer Settings","Asiakasasetukset"
"Street Address #2 Label", "Katuosoite #2 etiketti"
"Set the label for 2nd street address.", "Aseta etiketti toiselle katuosoitteelle."
"Street Address #2 as Required", "Katuosoite #2 vaadittu"
"Set if the street address field is required input.", "Määritä, jos katuosoite on pakollinen kenttä."
"Street Address #2 Validation", "Katuosoite #2 Vahvistus"
"Set type of input for the street address field.", "Aseta syöttötyyppi katuosoite-kenttään."
"Street Address #3 Label", "Katuosoite # 3 etiketti"
"Set the label for 3rd street address.", "Aseta etiketti kolmanteen katuosoitteeseen."
"Street Address #3 as Required", "Katuosoite # 3 vaadittu"
"Street Address #4 Label", "Katuosoite # 4 etiketti"
"Set the label for 4th street address.", "Aseta etiketti neljänteen katuosoitteeseen."
"Set if the street address field is required input.", "Määritä, jos katuosoite on pakollinen kenttä"
"Please close this form and login with your new account.", "Sulje tämä lomake ja kirjaudu sisään uudelle tilillesi."
"Enable Hide on App on Manage Products","Enable Hide on App on Manage Products"
"On Manage Products enable Hide on App","Hallitse tuotteen näkyvyyttä sovelluksessa"
"Enable this option to choose if a product is hidden on app or not","Enable this option to choose if a product is hidden on app or not"
"Enable this option to choose whether or not this product is visible in the app","Ota tämä vaihtoehto käyttöön valitsemalla näkyykö tämä tuote sovelluksessa vai ei"
"Hide on JMango360","Piilota JMango360: ssa"
"Hide on JMango360 App","Piilota JMango360-sovelluksessa"
"Override Default Sort Direction","Override Default Sort Direction"
"Choose to use direction here instead of mobile default sort direction.","Choose to use direction here instead of mobile default sort direction."
"Re-run SQL upgrade","Suorita uudelleen SQL-päivitys"
"Re-run successfully.","Käynnistetty uudelleen onnistuneesti."
"Back to app","Back to app"
"Overall Rating","Overall Rating"
"Review Title","Review Title"
"Review","Review"
"Nickname","Nickname"
"I agree to the terms & conditions","I agree to the terms & conditions"
"Would you recommend this product to your friends?","Would you recommend this product to your friends?"
"I recommend this product","I recommend this product"
"I do not recommend this product","I do not recommend this product"
"JMango360 Native Payment", "JMango360 Native Payment"
"Anonymous","Anonymous"
"Originally posted on %s.","Originally posted on %s."
"Reset Filter","Nollaa suodatin"
"Page","Sivu"
"of %s pages","sta %s sivusta"
"per page","per sivu"
"Total %d records found","Löydettiin yhteensä %d tulosta"
"All Countries","Kaikki maat"
"Search","Etsi"
"Export","Vie"
"Export to:","Vie osoitteeseen:"
"Applies to Any of the Specified Order Statuses","Koskee kaikkia määriteltyjä tilauksia"
"Specified","Määritetty"
"Any","Minkä tahansa"
"Empty Rows","Tyhjät rivit"
"Order Status","Tilauksen tila"
"To","Saakka"
"Year","Vuosi"
"Month","Kuukausi"
"Day","Päivä"
"From","Lähtien"
"Filter","Suodatin"
"Show Report For:","Näytä raportti:"
"Canceled","Peruttu"
"Sales Discount","Myyntialennus"
"Sales Shipping","Myyntitoimitus"
"Sales Tax","Myyntivero"
"Refunded","Hyvitetty"
"Sales Total","Myynti yhteensä"
"Show Actual Values","Näytä todelliset arvot"
"Bazaarvoice Settings","Bazaarvoice Settings"
"Enable Bazaarvoice","Enable Bazaarvoice"
"Using Bazaarvoice Conversations platform","Using Bazaarvoice Conversations platform"
"Environment","Environment"
"Select environment","Select environment"
"Production","Production"
"Staging","Staging-tila"
"Bazaarvoice API Key (STG)","Bazaarvoice API -avain (STG)"
"Bazaarvoice Conversations API key (staging)","Bazaarvoice -keskustelut API-avain (staging-tila)"
"Bazaarvoice API Key (PROD)","Bazaarvoice API-avain (PROD)"
"Bazaarvoice Conversations API key (production)","Bazaarvoice -keskustelut API-avain (tuotanto)"
"Shared Encoding Key","Shared Encoding Key"
"The shared, secret encoding key that is used to encrypt user information","Jaettu ja salainen koodausavain, jota käytetään salaamaan käyttäjätiedot"
"Deployment Zone","Käyttöalue"
"Enter display code from Site Manager","Syötä sivuston ylläpitäjän näyttökoodi"
"Filtering and Sorting Review","Suodata ja erottele arvostelut"
"Enter each line a query string.<br>Example: Filter|ContentLocale:eq:nl_NL,en_GB","Lisää kaikki kyselyt jonoon eri riveille.<br>Esimerkki: Filter|ContentLocale:eq:nl_NL,en_GB"
"Terms & Conditions","Yleiset käyttöehdot"
"Customize the terms and conditions that your users will see for all submissions","Muokkaa yleisiä käyttöehtoja, jotka käyttäjät näkevät jokaisen tilauksen yhteydessä"
"Rating Lables","Arvosteluluokat"
"Example: EaseOfUse|Kwaliteit van product","Esimerkki: EaseOfUse|Kwaliteit van product"
"Client Lables","Asiakkaan etiketit"
"Example: blokker|blokker.nl","Esimerkki: blokker|blokker.nl"
