
"Connection credentials","Tilkoblingsinformasjon"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.","This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email."
"Customer is already logged in.","Kunden er allerede logget inn."
"Could not login","Could not login"
"Login and password are required.","Innlogging og passord er påkrevd."
"Account is created. Please check email to confirm.","Konto er opprettet. Vennligst sjekk e-posten din for å bekrefte."
"Invalid Exception code '%d'", "Ugyldig unntakskode '%d'"
"Order List", "Ordreliste"
"Order #", "Ordre #"
"Order Date", "Ordredato"
"Billing Country", "Faktureringsland"
"Shipping Country", "Fraktland"
"Qty. Ordered", "Kvanitet bestilt"
"Subtotal", "Totalpris"
"Total", "Totalpris"
"Invoiced", "Betaling krevd"
"Status", "Status"
"Action", "Action"
"View", "Vis"
"Show Report", "Vis rapport"
"Total Customers from JMango360 Report", "Totale kunder fra JMango360-rapport"
"JMango360 Report - Total number of registered customers","Totale kunder fra JMango360-rapport"
"Total Ordered from JMango360 Report", "Totalt bestilt fra JMango360-rapport"
"JMango360 Report - Total number of orders","Totalt bestilt fra JMango360-rapport"
"Total Sales from JMango360 Report", "Totale salg fra JMango360-rapport"
"JMango360 Report - Total number of sales","Totale salg fra JMango360-rapport"
"Chart", "Tabell"
"Period", "Periode"
"Customers", "Kunder"
"Orders", "Ordre"
"Order From", "Ordre fra"
"JMango360 User", "JMango360-bruker"
"Download", "Last ned"
"Clear", "Slett"
"No", "Nei"
"Yes", "Ja"
"Invalid token", "Invalid kode"
"Session expired.", "Tid utløpt."
"No rest model found.", "Ingen restemodell funnet."
"Resource method not implemented", "Kildemetode ikke i bruk"
"Minimum order amount is %s", "Minimum ordreantall er %s"
"Guest checkout is not enabled", "Gjeste-sjekkut er ikke skrudd på"
"Something is wrong with the order.", "Noe gikk galt med orderen."
"Something is wrong with the quote or order.", "Noe gikk galt med bestillingen."
"Cart is empty.", "Handlekurven er tom."
"Multishipping not implemented yet.", "Multifrakt er ikke tilgjengelig enda."
"Checkout method not implemented yet: ", "Sjekkut-metoden er ikke tilgjengelig enda: "
"Could not log-out customer", "Kunne ikke logge ut kunde"
"Please login.", "Vennligst logg inn."
"Country code cannot be empty", "Landskode kan ikke være tom"
"Country does not exist: ", "Land finnes ikke: "
"Country does not exist", "Country does not exist"
"Store not found", "Butikk ble ikke funnet"
"Not allowed.", "Ikke tillatt."
"Product ID invalid", "Produkt-ID ikke gyldig"
"Product not found", "Produkt ikke funnet"
"Please login first!", "Vennligst logg inn først!"
"Cannot specify product.", "Kan ikke spesifisere produktet."
"Cannot specify product", "Kan ikke spesifisere produktet"
"Item not found", "Produkt ikke funnet"
"%1$s has been updated in your wishlist.", "%1$s har blitt oppdatert i din ønskeliste."
"An error occurred while updating your wishlist.", "En feil oppsto når du oppdaterte ønskelisten."
"Cannot specify your wishlist item.", "Kan ikke spesifisere ønskelisteproduktet."
"The product does not exist.", "Produktet finnes ikke."
"Wishlist item removed", "Ønskelisteproduktet har blitt fjernet"
"An error occurred while deleting the item from wishlist: %s", "En feil oppsto når produktet skulle slettes fra ønskelisten: %s"
"An error occurred while deleting the item from wishlist.", "En feil oppsto når produktet skulle slettes fra ønskelisten."
"Can't save description %s", "Kan ikke lagre beskrivelsen %s"
"Can't delete item from wishlist", "Kan ikke slette produktet fra ønskelisten"
"Can't save qty %s", "Kan ikke lagre kvaniteten %s"
"Wishlist updated successfully", "Ønskeliste oppdatert suksessfullt"
"Can't update wishlist", "Kan ikke oppdatere ønskelisten"
"No item updated", "Ingen produkt oppdatert"
"%s has been added to your wishlist.", "%s har blitt lagt til i din ønskeliste.."
"An error occurred while adding item to your wishlist: %s", "En feil oppsto når du la til produktet i din ønskeliste: %s"
"An error occurred while adding item to your wishlist", "En feil oppsto når du la til produktet i din ønskeliste"
"Wishlist not allowed", "Ønskeliste ikke tillatt"
"Wishlist doesn't exist", "Ønskeliste eksisterer ikke"
"Customer not logged in", "Kunde ikke logget inn"
"Coupon is not valid: ", "Kuppongen er ikke gyldig: "
"Coupon could not be applied.", "Kuppongen kunne ikke brukes."
"%s: Minimum quantity allowed for purchase is %s.", "%s: Minimum kvanitet tilltatt for kjøp er %s."
"%s: Maximum quantity allowed for purchase is %s.", "%s: Maksimum kvanitet tillatt for kjøp er %s."
"%s was added to your shopping cart.", "%s var lagt til i handlekurven din."
"No cart data found.", "Ingen handlekurvinfo funnet."
"Your shopping cart has been updated.", "Din handlekurv har blitt oppdatert."
"No bundle-product cart item ID found.", "Ingen produkt i handlekurven med ID funnet."
"The product you are trying to delete could not be found in the cart (item id is %s not found in cart).", "Produktet du forsøker å slette kunne ikke ble funnet i handlekurven (produkt-ID er %s ikke funnet i handlekurven)."
"The product has been deleted from your shopping cart.", "Produktet har blitt fjernet fra handlekurven din."
"Category not found.", "Kategori ikke funnet."
