
"Connection credentials","Διαπιστευτήρια σύνδεσης"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.","Αυτός ο λογαριασμός δεν έχει επαληθευτεί. <a href='%s'>Κλικ εδώ</a> για αποστολή νέου email επιβεβαίωσης."
"Customer is already logged in.","Ο πελάτης είναι ήδη συνδεδεμένος."
"Could not login","Could not login"
"Login and password are required.","Απαιτείται σύνδεση και κωδικός πρόσβασης."
"Account is created. Please check email to confirm.","Δημιουργήθηκε λογαριασμός. Παρακαλούμε ελέγξτε τα email σας για επαλήθευση."
"Invalid Exception code '%d'", "Κωδικός Μη Έγκυρης Εξαίρεσης '%d'"
"Order List", "Λίστα Παραγγελιών"
"Order #", "Παραγγελία #"
"Order Date", "Ημερομηνία Παραγγελίας"
"Billing Country", "Billing Country"
"Shipping Country", "Shipping Country"
"Qty. Ordered", "Ποσότητα σε παραγγελία"
"Subtotal", "Μερικό σύνολο"
"Total", "Σύνολο"
"Invoiced", "Τιμολογημένο"
"Status", "Κατάσταση"
"Action", "Ενέργεια"
"View", "Προβολή"
"Show Report", "Προβολή Αναφοράς"
"Total Customers from JMango360 Report", "Αναφορά JMango360 – Συνολικός αριθμός εγγεγραμμένων πελατών"
"JMango360 Report - Total number of registered customers","Αναφορά JMango360 – Συνολικός αριθμός εγγεγραμμένων πελατών"
"Total Ordered from JMango360 Report", "Αναφορά JMango360 – συνολικός αριθμός παραγγελιών"
"JMango360 Report - Total number of orders","Αναφορά JMango360 – συνολικός αριθμός παραγγελιών"
"Total Sales from JMango360 Report", "Αναφορά JMango360 – συνολικός αριθμός πωλήσεων"
"JMango360 Report - Total number of sales","Αναφορά JMango360 – συνολικός αριθμός πωλήσεων"
"Chart", "Διάγραμμα"
"Period", "Περίοδος"
"Customers", "Πελάτες"
"Orders", "Παραγγελίες"
"Order From", "Παραγγελία Από"
"JMango360 User", "Χρήστης JMango360"
"Download", "Λήψη"
"Clear", "Καθαρισμός"
"No", "Όχι"
"Yes", "Ναι"
"Invalid token", "Μη έγκυρο πιστοποιητικό διασύνδεσης"
"Session expired.", "Έληξε η περίοδος διασύνδεσης."
"No rest model found.", "Δεν βρέθηκε το μοντέλο REST."
"Resource method not implemented", "Δεν εφαρμόστηκε η μέθοδος πόρων"
"Minimum order amount is %s", "Το ελάχιστο ποσό παραγγελίας είναι %s"
"Guest checkout is not enabled", "Δεν είναι ενεργοποιημένη η ολοκλήρωση παραγγελίας από επισκέπτη"
"Product ID invalid", "Μη έγκυρος Κωδικός Προϊόντος"
"Something is wrong with the order.", "Κάτι πήγε στραβά με την παραγγελία."
"Something is wrong with the quote or order.", "Κάτι πήγε στραβά με την προσφορά ή με την παραγγελία."
"Cart is empty.", "Το καλάθι είναι άδειο."
"Multishipping not implemented yet.", "Δεν έχει ακόμη γίνει εφαρμογή δυνατότητας πολλαπλών αποστολών."
"Checkout method not implemented yet: ", "Δεν έχει ακόμη γίνει εφαρμογή της μεθόδου ολοκλήρωσης παραγγελίας: "
"Could not log-out customer", "Δεν είναι δυνατή η αποσύνδεση πελάτη"
"Please login.", "Παρακαλούμε συνδεθείτε."
"Country code cannot be empty", "Ο κωδικός χώρας δεν μπορεί να είναι κενός"
"Country does not exist: ", "Δεν υπάρχει αυτή η χώρα: "
"Country does not exist", "Δεν υπάρχει αυτή η χώρα"
"Store not found", "Δεν βρέθηκε το κατάστημα"
"Not allowed.", "Δεν επιτρέπεται."
"Product not found", "Δεν βρέθηκε το προϊόν"
"Please login first!", "Παρακαλούμε συνδεθείτε πρώτα!"
"Cannot specify product.", "Δεν μπορεί να προσδιοριστεί το προϊόν."
"Item not found", "Δεν βρέθηκε το προϊόν"
"%1$s has been updated in your wishlist.", "%1$s έχει ενημερωθεί στη λίστα επιθυμητών."
"An error occurred while updating your wishlist.", "Παρουσιάστηκε κάποιο σφάλμα κατά την ενημέρωση των επιθυμητών."
"Cannot specify your wishlist item.", "Δεν μπορεί να προσδιοριστεί το επιθυμητό προϊόν."
"The product does not exist.", "Το προϊόν δεν υπάρχει."
"Wishlist item removed", "Το επιθυμητό προϊόν έχει αφαιρεθεί"
"An error occurred while deleting the item from wishlist: %s", "Παρουσιάστηκε κάποιο σφάλμα κατά τη διαγραφή του προϊόντος από τη λίστα επιθυμητών: %s"
"An error occurred while deleting the item from wishlist.", "Παρουσιάστηκε κάποιο σφάλμα κατά τη διαγραφή του προϊόντος από τη λίστα επιθυμητών."
"Can't save description %s", "Δεν είναι δυνατή η αποθήκευση της περιγραφής %s"
"Can't delete item from wishlist", "Δεν είναι δυνατή η διαγραφή από τη λίστα επιθυμητών"
"Can't save qty %s", "Δεν είναι δυνατή η αποθήκευση ποσότητας %s"
"Wishlist updated successfully", "Η λίστα επιθυμητών ενημερώθηκε επιτυχώς"
"Can't update wishlist", "Δεν είναι δυνατή η ενημέρωση της λίστας επιθυμητών"
"No item updated", "Δεν ενημερώθηκε κανέναν προϊόν"
"Cannot specify product", "Δεν είναι δυνατός ο προσδιορισμός του προϊόντος"
"%s has been added to your wishlist.", "%s προστέθηκε στη λίστα επιθυμητών."
"An error occurred while adding item to your wishlist: %s", "Παρουσιάστηκε κάποιο σφάλμα κατά την προσθήκη του προϊόντος στη λίστα επιθυμητών: %s"
"An error occurred while adding item to your wishlist", "Παρουσιάστηκε κάποιο σφάλμα κατά την προσθήκη του προϊόντος στη λίστα επιθυμητών"
"Wishlist not allowed", "Δεν επιτρέπεται η λίστα επιθυμητών"
"Wishlist doesn't exist", "Η λίστα επιθυμητών δεν υπάρχει"
"Customer not logged in", "Ο πελάτης δεν έχει συνδεθεί"
