
"Connection credentials","Anslutningsreferenser"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.","Det här kontot är inte verifierat. <a href='%s'>Klicka här</a> för att skicka konfirmationsmailet igen."
"Customer is already logged in.","Kunden är redan inloggad."
"Login and password are required.","Användarnamn och lösenord krävs."
"Account is created. Please check email to confirm.","Kontot är skapat. Vänligen kontrollera e-post för att konfirmera."
"Invalid Exception code '%d'", "Invalid Exception code '%d'"
"Order List", "Orderlista"
"Order #", "Order #"
"Order Date", "Orderdatum"
"Billing Country", "Fakturaland"
"Shipping Country", "Leveransland"
"Qty. Ordered", "Antal Beställt"
"Subtotal", "Totalsumma"
"Total", "Total"
"Invoiced", "Fakturerad"
"Status", "Status"
"Action", "Aktion"
"View", "Se"
"Show Report", "Visa Rapport"
"Total Customers from JMango360 Report", "Totala kunder från JMango360 Rapport"
"JMango360 Report - Total number of registered customers","Totala kunder från JMango360 Rapport"
"Total Ordered from JMango360 Report", "Total Beställt från JMango360 Rapport"
"JMango360 Report - Total number of orders","Total Beställt från JMango360 Rapport"
"Total Sales from JMango360 Report", "Total Försäljning från JMango360 Rapport"
"JMango360 Report - Total number of sales","Total Försäljning från JMango360 Rapport"
"Chart", "Varukort"
"Period", "Period"
"Customers", "Kunder"
"Orders", "Ordrar"
"Order From", "Orderformulär"
"JMango360 User", "JMango360 Användare"
"Download", "Ladda ned"
"Clear", "Rensa"
"No", "Nej"
"Yes", "Ja"
"Invalid token", "Ogiltigt tecken"
"Session expired.", "Sessionen löpt ut."
"No rest model found.", "No rest model found."
"Resource method not implemented", "Resource method not implemented"
"Minimum order amount is %s", "Minimisumma för order är %s"
"Guest checkout is not enabled", "Gästcheckout är inte tillgängligt"
"Product ID invalid", "Produkt ID ogiltigt"
"Something is wrong with the order.", "Något gick fel med beställningen."
"Something is wrong with the quote or order.", "Något gick fel med offerten eller beställningen."
"Cart is empty.", "Varukorgen är tom."
"Multishipping not implemented yet.", "Multileverans är inte implementerat än."
"Checkout method not implemented yet: ", "Checkut-metoden är inte implementerad än: "
"Could not log-out customer", "Kunde inte logga ut kund"
"Please login.", "Vänligen logga in."
"Country code cannot be empty", "Landskod kan inte vara tom"
"Country does not exist: ", "Land existerar inte: "
"Country does not exist", "Land existerar inte"
"Store not found", "Butik ej funnen"
"Not allowed.", "Inte tillåtet."
"Set store option %s not found", "Angett butiksval %s inte funnet"
"Set store option cannot be empty.", "Angett butiksval kan inte vara tomt."
"Product ID invalid", "Produkt ID ogiltigt"
"Product not found", "Produkt ej funnen"
"Please login first!", "Vänligen logga in först!"
"Cannot specify product.", "Kan inte specificera produkt."
"Item not found", "Artikeln hittades ej"
"%1$s has been updated in your wishlist.", "%1$s har uppdaterats i din önskelista."
"An error occurred while updating your wishlist.", "Ett fel uppstod vid uppdatering av din önskelista."
"Cannot specify your wishlist item.", "Kan inte specificera artiklar i önskelistan."
"The product does not exist.", "Produkten finns inte."
"Wishlist item removed", "Artikeln på önskelistan raderad"
"An error occurred while deleting the item from wishlist: %s", "Ett fel uppstod vid radering från önskelistan: %s"
"An error occurred while deleting the item from wishlist.", "Ett fel uppstod vid radering från önskelistan."
"Can't save description %s", "Kan inte spara beskrivning: %s"
"Can't delete item from wishlist", "Kan inte ta bort artikel från önskelistan"
"Can't save qty %s", "Kan inte spara antal: %s"
"Wishlist updated successfully", "Ösnkelistan uppdaterad"
"Can't update wishlist", "Kan inte uppdatera önskelistan"
"No item updated", "Inga artiklar uppdaterade"
"Cannot specify product", "Kan inte specificera produkt"
"%s has been added to your wishlist.", "%s har lagts till i din önskelista."
"An error occurred while adding item to your wishlist: %s", "Ett fel uppstod när artikeln lades till önskelistan: %s"
"An error occurred while adding item to your wishlist", "Ett fel uppstod när artikeln lades till önskelistan"
"Wishlist not allowed", "Önskelista inte tillåten"
"Wishlist doesn't exist", "Önskelistan finns inte"
"Customer not logged in", "Kunden är inte inloggad"
"Coupon is not valid: ", "Kupongen är inte giltig: "
"Coupon could not be applied.", "Kupongen kunde inte appliceras."
"%s: Minimum quantity allowed for purchase is %s.", "%s: Minimiantal för köp är %s."
"%s: Maximum quantity allowed for purchase is %s.", "%s: Maximiantal för köp är %s."
"%s was added to your shopping cart.", "%s lades till din varukorg."
"No cart data found.", "Ingen varukorgsdata hittades."
"Your shopping cart has been updated.", "Din varukorg har uppdaterats."
"No bundle-product cart item ID found.", "Inget buntprodukt ID hittades."
"The product you are trying to delete could not be found in the cart (item id is %s not found in cart).", "Produkten du försöker radera kunde inte hittas i varukorgen (artikel id är % inte hittad i varukorgen)."
"The product has been deleted from your shopping cart.", "Produkten har tagits bort från din varukorg."
"Category not found.", "Kategori hittades inte."
"Category not available.", "Kategorin finns inte."
"No category found.", "Ingen kategori hittad."
"Your search returns no results.", "Din sökning gav inga resultat."
